scenario_key,scenario_label,year,end_height,burn_active,capacity_pct,reward_per_block_atho,annual_issuance_atho,annual_fees_total_atho,annual_burn_atho,annual_miner_fees_atho,annual_miner_revenue_atho,cumulative_emitted_atho,cumulative_burned_atho,circulating_supply_atho,annual_net_change_atho,annual_net_rate_pct,tx_per_block_est,tps_est
no_burn_100,No Burn (100% block capacity),50,13139999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27561875.00000000,0E-8,27561875.00000000,82125.00000000,0.29885643,4416,36.80000000
no_burn_100,No Burn (100% block capacity),51,13402799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27644000.00000000,0E-8,27644000.00000000,82125.00000000,0.29796594,4416,36.80000000
no_burn_100,No Burn (100% block capacity),52,13665599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27726125.00000000,0E-8,27726125.00000000,82125.00000000,0.29708074,4416,36.80000000
no_burn_100,No Burn (100% block capacity),53,13928399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27808250.00000000,0E-8,27808250.00000000,82125.00000000,0.29620079,4416,36.80000000
no_burn_100,No Burn (100% block capacity),54,14191199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27890375.00000000,0E-8,27890375.00000000,82125.00000000,0.29532603,4416,36.80000000
no_burn_100,No Burn (100% block capacity),55,14453999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27972500.00000000,0E-8,27972500.00000000,82125.00000000,0.29445642,4416,36.80000000
no_burn_100,No Burn (100% block capacity),56,14716799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28054625.00000000,0E-8,28054625.00000000,82125.00000000,0.29359192,4416,36.80000000
no_burn_100,No Burn (100% block capacity),57,14979599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28136750.00000000,0E-8,28136750.00000000,82125.00000000,0.29273248,4416,36.80000000
no_burn_100,No Burn (100% block capacity),58,15242399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28218875.00000000,0E-8,28218875.00000000,82125.00000000,0.29187806,4416,36.80000000
no_burn_100,No Burn (100% block capacity),59,15505199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,28301000.00000000,0E-8,28301000.00000000,82125.00000000,0.29102861,4416,36.80000000
